index,input,output
614,-0.480117,-0.469969
615,-0.478945,-0.470002
616,-0.477772,-0.470034
617,-0.4766,-0.470066
618,-0.475427,-0.470099
619,-0.474255,-0.470131
620,-0.473083,-0.470164
621,-0.47191,-0.470196
622,-0.470738,-0.470228
623,-0.469565,-0.47026
624,-0.468393,-0.470293
625,-0.46722,-0.470325
626,-0.466048,-0.470357
627,-0.464875,-0.470389
628,-0.463703,-0.470421
629,-0.462531,-0.470453
630,-0.461358,-0.470485
631,-0.460186,-0.470517
632,-0.459013,-0.470549
633,-0.457841,-0.470581
634,-0.456668,-0.470613
635,-0.455496,-0.470645
636,-0.454323,-0.470676
637,-0.453151,-0.470708
638,-0.451979,-0.47074
639,-0.450806,-0.470772
640,-0.449634,-0.470803
641,-0.448461,-0.470835
642,-0.447289,-0.470866
643,-0.446116,-0.470898
644,-0.444944,-0.47093
645,-0.443771,-0.470961
646,-0.442599,-0.470993
647,-0.441427,-0.471024
648,-0.440254,-0.471055
649,-0.439082,-0.471087
650,-0.437909,-0.471118
651,-0.436737,-0.471149
652,-0.435564,-0.471181
653,-0.434392,-0.471212
654,-0.433219,-0.471243
655,-0.432047,-0.471274
656,-0.430874,-0.471305
657,-0.429702,-0.471337
658,-0.42853,-0.471368
659,-0.427357,-0.471399
660,-0.426185,-0.47143
661,-0.425012,-0.471461
662,-0.42384,-0.471492
663,-0.422667,-0.471523
664,-0.421495,-0.471553
665,-0.420322,-0.471584
666,-0.41915,-0.471615
667,-0.417978,-0.471646
668,-0.416805,-0.471677
669,-0.415633,-0.471707
670,-0.41446,-0.471738
671,-0.413288,-0.471769
672,-0.412115,-0.471799
673,-0.410943,-0.47183
674,-0.40977,-0.47186
675,-0.408598,-0.471891
676,-0.407426,-0.471922
677,-0.406253,-0.471952
678,-0.405081,-0.471982
679,-0.403908,-0.472013
680,-0.402736,-0.472043
681,-0.401563,-0.472073
682,-0.400391,-0.472104
683,-0.399218,-0.472134
684,-0.398046,-0.472164
685,-0.396873,-0.472195
686,-0.395701,-0.472225
687,-0.394529,-0.472255
688,-0.393356,-0.472285
689,-0.392184,-0.472315
690,-0.391011,-0.472345
691,-0.389839,-0.472375
692,-0.388666,-0.472405
693,-0.387494,-0.472435
694,-0.386321,-0.472465
695,-0.385149,-0.472495
696,-0.383977,-0.472525
697,-0.382804,-0.472555
698,-0.381632,-0.472585
699,-0.380459,-0.472614
700,-0.379287,-0.472644
701,-0.378114,-0.472674
702,-0.376942,-0.472703
703,-0.375769,-0.472733
704,-0.374597,-0.472763
705,-0.373425,-0.472792
706,-0.372252,-0.472822
707,-0.37108,-0.472851
708,-0.369907,-0.472881
709,-0.368735,-0.47291
710,-0.367562,-0.47294
711,-0.36639,-0.472969
712,-0.365217,-0.472999
713,-0.364045,-0.473028
714,-0.362872,-0.473057
715,-0.3617,-0.473087
716,-0.360528,-0.473116
717,-0.359355,-0.473145
718,-0.358183,-0.473174
719,-0.35701,-0.473203
720,-0.355838,-0.473233
721,-0.354665,-0.473262
722,-0.353493,-0.473291
723,-0.35232,-0.47332
724,-0.351148,-0.473349
725,-0.349976,-0.473378
726,-0.348803,-0.473407
727,-0.347631,-0.473436
728,-0.346458,-0.473465
729,-0.345286,-0.473493
730,-0.344113,-0.473522
